,Suburb,ID,0 to 4,5 to 19,20 to 39,40 to 59,60+,Job requires Tertiary qualification,Job Does not require a Tertiary qualification,% holding Job requiring Tertiary,% holding job not requiring Tertiary,Born in Australia,Born outside of Australia,Percent born in Aus,Percent born outside of Aus
113,Eltham North,13687,404.0,1510.0,1449.0,2197.0,1240.0,2074.0,1673.0,55.35094742460635,44.64905257539365,5518.0,1287.0,81.08743570903746,18.91256429096253
114,Elwood,13717,842.0,1777.0,6504.0,4581.0,1858.0,6238.0,3234.0,65.85726351351352,34.142736486486484,10093.0,5450.0,64.93598404426429,35.0640159557357
115,Emerald,13747,339.0,1180.0,1112.0,1840.0,1310.0,1518.0,1348.0,52.96580600139568,47.03419399860433,4477.0,1301.0,77.48355832467982,22.51644167532018
116,Endeavour Hills,13797,1504.0,4479.0,6732.0,6648.0,4940.0,4793.0,6203.0,43.58857766460531,56.41142233539469,11366.0,12928.0,46.78521445624434,53.21478554375566
117,Epping,13867,2825.0,6208.0,10825.0,7975.0,4567.0,5289.0,9083.0,36.800723629279155,63.199276370720845,17591.0,14804.0,54.301589751504864,45.698410248495136
118,Essendon,13957,1002.0,3543.0,6398.0,5679.0,3968.0,6147.0,4852.0,55.886898808982636,44.113101191017364,14438.0,6158.0,70.10099048358904,29.899009516410953
119,Essendon North,13977,137.0,439.0,1069.0,777.0,569.0,809.0,753.0,51.792573623559534,48.20742637644046,1857.0,1130.0,62.169400736524935,37.83059926347506
120,Essendon West,13997,70.0,310.0,345.0,406.0,317.0,389.0,321.0,54.7887323943662,45.2112676056338,1112.0,327.0,77.27588603196665,22.724113968033357
121,Fairfield,14197,359.0,934.0,2416.0,1787.0,1058.0,2177.0,1361.0,61.531938948558505,38.468061051441495,4470.0,2088.0,68.16102470265325,31.83897529734675
122,Fawkner,14297,1157.0,2631.0,4316.0,2927.0,3005.0,2108.0,2823.0,42.74994930034476,57.25005069965524,6335.0,7708.0,45.11144342376985,54.88855657623015
123,Ferntree Gully,14407,1666.0,4624.0,7168.0,7175.0,5789.0,6172.0,7101.0,46.500414375047086,53.499585624952914,19081.0,7347.0,72.19993945815044,27.800060541849554
124,Fitzroy,14527,546.0,952.0,5015.0,2474.0,1466.0,3633.0,1785.0,67.05426356589147,32.945736434108525,5555.0,4890.0,53.18334131163236,46.81665868836764
125,Fitzroy North,14567,522.0,1460.0,5054.0,3084.0,2219.0,4838.0,2207.0,68.67281760113556,31.327182398864444,8302.0,4037.0,67.28259988653862,32.71740011346138
126,Flemington,14617,510.0,1243.0,3070.0,1784.0,1106.0,1849.0,1470.0,55.70955106959927,44.29044893040072,4044.0,3675.0,52.390205985231255,47.60979401476875
127,Footscray,14717,925.0,1549.0,8378.0,3332.0,2166.0,4104.0,4131.0,49.8360655737705,50.1639344262295,7144.0,9201.0,43.70755582747017,56.29244417252982
128,Forest Hill,14827,608.0,1784.0,2776.0,2789.0,2658.0,2527.0,2252.0,52.87717095626701,47.122829043733,6006.0,4620.0,56.52173913043478,43.47826086956522
129,Frankston,14947,2294.0,5712.0,10385.0,9258.0,8456.0,6831.0,8814.0,43.66251198465964,56.33748801534036,24841.0,11256.0,68.81735324265175,31.18264675734825
130,Frankston North,15007,387.0,961.0,1537.0,1487.0,1389.0,605.0,1219.0,33.16885964912281,66.83114035087719,3862.0,1900.0,67.02533842415828,32.97466157584172
131,Frankston South,15027,1031.0,3514.0,3578.0,5205.0,4871.0,4658.0,4111.0,53.11894172653666,46.88105827346334,13356.0,4843.0,73.38864772789714,26.611352272102863
132,Gardenvale,15237,59.0,134.0,366.0,251.0,196.0,344.0,234.0,59.515570934256054,40.484429065743946,619.0,387.0,61.53081510934394,38.46918489065607
133,Gisborne,15737,697.0,1939.0,1961.0,2569.0,1834.0,2313.0,2034.0,53.20910973084886,46.790890269151134,7297.0,1702.0,81.08678742082454,18.913212579175465
134,Gladstone Park,15787,483.0,1334.0,2067.0,2025.0,2434.0,1313.0,2159.0,37.8168202764977,62.1831797235023,5028.0,3310.0,60.302230750779565,39.697769249220435
135,Glen Huntly,15877,309.0,537.0,2446.0,1005.0,746.0,1546.0,1105.0,58.317615993964544,41.682384006035456,1920.0,3120.0,38.095238095238095,61.904761904761905
136,Glen Iris,15907,1325.0,5110.0,6972.0,7014.0,4852.0,8500.0,4628.0,64.74710542352224,35.25289457647776,17518.0,7750.0,69.32879531423144,30.67120468576856
137,Glen Waverley,15957,1738.0,8078.0,9965.0,10857.0,9695.0,9683.0,7635.0,55.9129229703199,44.0870770296801,16488.0,23839.0,40.885758920822276,59.114241079177724
138,Glenroy,16477,1642.0,3357.0,8180.0,4723.0,4344.0,4101.0,5182.0,44.17752881611548,55.822471183884524,10945.0,11300.0,49.20206788042257,50.79793211957744
139,Gowanbrae,16877,221.0,558.0,722.0,762.0,502.0,681.0,668.0,50.48183839881394,49.51816160118606,1979.0,794.0,71.36675081139559,28.6332491886044
140,Greensborough,17297,1341.0,3795.0,5324.0,5676.0,4700.0,5642.0,4886.0,53.590425531914896,46.409574468085104,15788.0,5033.0,75.82728975553528,24.172710244464724
141,Greenvale,17317,983.0,3306.0,4374.0,4595.0,2218.0,3569.0,4289.0,45.41868159837109,54.581318401628906,10051.0,5415.0,64.98771498771498,35.01228501228501
142,Hadfield,17537,379.0,937.0,1585.0,1310.0,1375.0,1006.0,1167.0,46.29544408651633,53.70455591348367,3316.0,2294.0,59.10873440285205,40.89126559714795
