,Unnamed: 0,Unnamed: 0.1,Suburb,ID,0 to 4,5 to 19,20 to 39,40 to 59,60+,Not Stated,Machinery,Labourers,Community,Technicians,Sales,Clerical,Managers,Professionals,Born in Australia,Total
156,156,156,Hoppers Crossing,19067,2594.0,7715.0,11089.0,10678.0,6617.0,344,2125,1998,2034,2563,1930,2723,1420,2438,22778,38701
157,157,157,Hughesdale,19257,474.0,1256.0,2515.0,1993.0,1318.0,55,104,213,367,393,386,530,522,1231,4141,7556
158,158,158,Huntingdale,19317,123.0,319.0,671.0,455.0,286.0,10,34,79,82,124,83,134,95,242,1015,1862
159,159,159,Hurstbridge,19387,193.0,772.0,752.0,1069.0,658.0,17,80,133,229,342,135,218,219,453,2888,3450
160,160,160,Ivanhoe,19767,631.0,2086.0,3350.0,3468.0,2630.0,87,105,243,545,496,499,851,1028,2487,8402,12171
161,161,161,Ivanhoe East,19787,192.0,805.0,742.0,1141.0,938.0,22,21,61,120,115,189,262,383,746,2885,3815
162,162,162,Jacana,19797,134.0,305.0,720.0,511.0,449.0,14,115,109,109,143,61,74,52,92,1003,2128
163,163,163,Kealba,20817,208.0,549.0,995.0,815.0,634.0,25,132,177,163,212,157,215,138,260,1855,3194
164,164,164,Keilor,20857,240.0,1177.0,1185.0,1660.0,1611.0,56,123,178,230,354,329,480,471,638,4308,5853
165,165,165,Keilor Downs,20887,534.0,1683.0,2642.0,2669.0,2453.0,75,443,468,424,668,470,707,405,711,5372,9995
166,166,166,Keilor East,20897,831.0,2449.0,3331.0,3814.0,4084.0,122,371,425,598,853,686,1098,847,1493,9520,14514
167,167,167,Keilor Lodge,20917,79.0,331.0,431.0,559.0,342.0,13,49,49,108,136,117,144,136,179,1160,1752
168,168,168,Keilor Park,20957,193.0,385.0,649.0,633.0,865.0,13,74,99,111,187,134,205,122,167,1688,2719
169,169,169,Kensington,21037,741.0,1166.0,5108.0,2496.0,1310.0,88,114,239,556,405,423,807,948,2714,6590,10812
170,170,170,Kew,21137,1065.0,4575.0,6764.0,6642.0,5547.0,211,135,358,968,678,1053,1481,2369,4941,15941,24605
171,171,171,Kew East,21167,376.0,1429.0,1455.0,2001.0,1380.0,40,48,113,283,197,304,410,622,1209,4495,6635
172,172,172,Keysborough,21197,1750.0,5095.0,7672.0,6617.0,4667.0,232,1204,1613,1012,1479,1211,1664,1313,2032,11198,25785
173,173,173,Kilsyth,21497,743.0,1771.0,3019.0,2580.0,2761.0,64,334,493,614,994,482,804,545,830,8228,10891
174,174,174,Kings Park,21657,525.0,1559.0,2289.0,2048.0,1767.0,89,453,560,335,409,278,330,134,251,3225,8198
175,175,175,Kingsbury,21677,186.0,493.0,1708.0,684.0,697.0,26,101,275,195,184,178,186,118,277,1528,3780
176,176,176,Kingsville,21717,377.0,548.0,1431.0,1052.0,523.0,30,72,134,188,174,136,282,335,693,2546,3946
177,177,177,Knoxfield,21867,457.0,1355.0,1937.0,1928.0,1788.0,51,198,292,364,544,389,552,417,748,4751,7462
178,178,178,Kooyong,22117,20.0,160.0,182.0,211.0,244.0,3,3,12,32,14,32,55,73,185,574,817
179,179,179,Kurunjang,22327,820.0,2255.0,2957.0,2617.0,1412.0,98,562,474,556,763,479,651,374,430,7234,10070
180,180,180,Lalor,22937,1582.0,3879.0,6738.0,5218.0,5164.0,189,958,1283,849,1359,878,1043,620,1013,10091,22594
181,181,181,Langwarrin,23137,1490.0,4487.0,6046.0,6570.0,4002.0,172,687,1097,1399,2362,1377,1870,1377,1675,17773,22588
182,182,182,Lower Plenty,24457,214.0,625.0,902.0,1055.0,1082.0,28,37,82,161,222,164,309,340,535,3091,3891
183,183,183,Maidstone,24877,597.0,1273.0,3895.0,2008.0,1255.0,87,283,412,515,458,390,600,497,1078,4148,9032
184,184,184,Malvern,25047,518.0,1789.0,2606.0,2570.0,2573.0,67,49,116,345,236,459,571,1036,1993,7148,10066
185,185,185,Malvern East,25077,1089.0,4075.0,6639.0,5741.0,4160.0,172,158,403,855,677,971,1339,1879,3985,14161,21707
186,186,186,Maribyrnong,25307,691.0,1767.0,5063.0,3166.0,1530.0,118,279,493,718,639,722,945,983,1770,6105,12216
187,187,187,McKinnon,25657,299.0,1506.0,1232.0,1952.0,1071.0,51,50,143,257,229,261,369,546,971,3682,6064
188,188,188,Meadow Heights,25717,1104.0,3582.0,4370.0,3864.0,1922.0,110,618,625,600,646,480,500,273,456,6990,14842
189,189,189,Melbourne,25807,1016.0,4576.0,32487.0,5724.0,3476.0,390,252,1560,2773,1890,1811,2282,2955,7488,10142,47285
190,190,190,Melton,25957,564.0,1359.0,2181.0,1932.0,2052.0,54,424,398,364,451,281,421,196,259,5409,8069
191,191,191,Melton South,25997,925.0,2103.0,3481.0,2722.0,2300.0,93,626,538,558,676,391,637,315,427,7617,11517
192,192,192,Melton West,26007,1645.0,3997.0,5424.0,4186.0,2337.0,163,961,808,983,1196,833,1163,659,879,12225,17589
193,193,193,Mentone,26087,690.0,2097.0,3396.0,3692.0,3094.0,107,184,317,636,764,658,985,1081,1882,8698,12965
194,194,194,Mernda,26237,2091.0,3148.0,6238.0,3524.0,1456.0,126,619,679,971,1211,795,1224,861,1407,10818,16458
195,195,195,Middle Park,26507,232.0,668.0,987.0,1249.0,1001.0,28,22,47,114,89,131,258,511,862,2943,4143
196,196,196,Mill Park,26637,1661.0,5437.0,8493.0,8774.0,5333.0,239,1153,1437,1615,2223,1735,2285,1400,2507,17911,29710
197,197,197,Mitcham,26977,1114.0,2697.0,4715.0,4345.0,3283.0,106,256,503,808,888,718,1180,1060,2682,10380,16148
198,198,198,Monbulk,27267,206.0,757.0,722.0,1031.0,867.0,30,98,178,203,339,148,203,261,274,2746,3577
199,199,199,Mont Albert,27307,223.0,958.0,1200.0,1380.0,1086.0,27,44,81,214,142,188,313,447,986,3196,4840
200,200,200,Montmorency,27387,638.0,1584.0,2190.0,2497.0,2047.0,63,108,214,515,658,355,712,641,1328,7279,8960
201,201,201,Montrose,27397,415.0,1263.0,1593.0,1820.0,1671.0,62,149,300,346,655,308,499,396,642,5312,6761
202,202,202,Moonee Ponds,27497,797.0,2173.0,4636.0,3828.0,2834.0,105,182,335,675,683,672,1119,1321,2505,9725,14250
203,203,203,Moorabbin,27577,403.0,924.0,1672.0,1584.0,1318.0,55,90,166,277,371,272,446,408,732,3525,5895
204,204,204,Mooroolbark,27707,1536.0,4256.0,6316.0,5611.0,4231.0,164,597,1033,1304,2053,1154,1646,1267,1910,16520,21967
205,205,205,Mordialloc,27817,516.0,1476.0,2192.0,2414.0,1566.0,57,131,197,422,505,389,599,676,1213,5560,8166
206,206,206,Mount Evelyn,28237,639.0,2059.0,2503.0,2769.0,1731.0,92,305,447,605,997,466,679,604,826,7951,9702
207,207,207,Mount Waverley,28457,1612.0,6318.0,8400.0,9181.0,8114.0,267,433,921,1250,1441,1481,2154,2263,4992,17372,33611
